English	zh_CN	zh_TW	依据	附注
Object Identifiers	对象标识符	物件識別字	官方推定	对象→物件(psql: 擴充模組中的物件);标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
OCC	乐观并发控制	樂觀並行控制	裁定	乐观并发控制→樂觀並行控制(MS 作 開放式,不取)
offset number	偏移号	位移編號	MS	偏移号→位移編號(offset number;offset = 位移)
OID	对象标识符	物件識別字	官方推定	对象→物件(psql: 擴充模組中的物件);标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
operator	操作符	運算子	MS	操作符→運算子(operator = 運算子)
operator class	操作符类	運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
operator family	操作符族	運算子家族	裁定	操作符族→運算子家族(operator family)
Optimistic Concurrency Control	乐观并发控制	樂觀並行控制	裁定	乐观并发控制→樂觀並行控制(MS 作 開放式,不取)
ordered-set aggregate	有序集聚合	有序集聚合	字符	
ordering	顺序	順序	字符	
Other Data Types	其他数据类型	其他資料型別	官方推定	类型→型別(官方 zh_TW: 型別)
Other Rebuilding Methods	其他重建方式	其他重建方式	字符	
Outer Joins	外连接	外部聯結	MS	外连接→外部聯結(outer join)
Page Header	页头	頁面標頭	MS	页头→頁面標頭(header = 標頭)
Page Layout	页面布局	頁面配置	MS	页面布局→頁面配置(page layout)
Page Locks	页锁	頁面鎖定	MS	页锁→頁面鎖定(page locks)
Page Pruning	页内剪枝	頁內修剪	MS	剪枝→修剪(pruning = 修剪)
page replacement algorithms	页面置换算法	頁面取代演算法	MS	页面置换→頁面取代(page replacement = 頁面取代(OS 教科書))
Page Structure	页面结构	頁面結構	字符	
pages	页	頁	官方	pages:page = 頁/頁面
parallel index build	并行索引构建	並行索引建置	官方推定	构建→建置(build = 建置)
Parallel Index Scans	并行索引扫描	並行索引掃描	官方推定	
Parallel Mode	并行模式	並行模式	字符	
Parallel Plans	并行计划	並行計劃	字符	
Parallel Sequential Scans	并行顺序扫描	並行循序掃描	MS	顺序扫描→循序掃描(sequential = 循序)
Parameter Binding	参数绑定	參數繫結	官方推定	参数→參數(parameter = 參數;OpenCC 直轉會誤作 引數);绑定→繫結(bind = 繫結)
parameterized (index) path	参数化（索引）路径	參數化（索引）路徑	官方	
Parameterized Joins	参数化连接	參數化聯結	MS	参数化连接→參數化聯結(parameterized join)
parameterized path	参数化路径	參數化路徑	MS	
parse tree	语法解析树	語法解析樹	裁定	解析→解析(parse 保留(TW 通行);MS 作 剖析,不取)
Parser	解析器	解析器	裁定	解析→解析(parse 保留(TW 通行);MS 作 剖析,不取)
partial aggregation	部分聚合	部分聚合	字符	
partial index	部分索引	部分索引	官方推定	
Partial Mode	部分模式	部分模式	字符	
partition bounds	分区边界	分割界限	MS	分区边界→分割界限(partition bounds)
partition key	分区键	分割索引鍵	官方	分区键→分割索引鍵(psql: Partition key → 分割索引鍵)
Partition pruning	分区剪枝	分割修剪	官方推定	分区→分割(官方 psql 主流:declarative table partitioning → 聲明式資料表分割;分割索引鍵;不取 MS 資料分割);剪枝→修剪(pruning = 修剪)
partitioned table	分区表	分割資料表	官方	分区表→分割資料表(psql:Partitioned table → 分割資料表;pg_dump 亦見 分區(官方內部不一致),取 psql 主流 分割)
partitioning	分区	分割	官方	分区→分割(官方 psql 主流:declarative table partitioning → 聲明式資料表分割;分割索引鍵;不取 MS 資料分割)
partitioning method	分区方法	分割方法	官方推定	分区→分割(官方 psql 主流:declarative table partitioning → 聲明式資料表分割;分割索引鍵;不取 MS 資料分割)
peer group	同等行组	對等資料列群組	MS	同等行组→對等資料列群組(peer group)
percentiles	百分位点	百分位數	MS	百分位点→百分位數(percentile)
performance	性能	效能	MS	性能→效能(performance = 效能)
pd_checksum	页校验和	頁檢查碼	裁定	校验和→檢查碼(checksum;MS 作 總和檢查碼)
pd_flags	页标志位	頁旗標	MS	标志位→旗標(flag bit = 旗標)
pg_lsn	日志序列号类型	日誌序列號型別	官方推定	日志序列号→日誌序列號(LSN);类型→型別(官方 zh_TW: 型別)
Phantom Reads	幻读	幻讀	裁定	幻读→幻讀(MS 作 虛設讀取,不取)
phantoms	幻读	幻讀	裁定	幻读→幻讀(MS 作 虛設讀取,不取)
Physical Structure	物理结构	實體結構	官方推定	物理结构→實體結構(physical = 實體(官方 zh_TW 高頻))
pin count	钉住计数	釘選計數	MS	钉住→釘選(pin = 釘選)
pinned	钉住	釘選	MS	钉住→釘選(pin = 釘選)
PITR	时间点恢复	時間點復原	MS	时间点恢复→時間點復原(PITR)
plan node	计划节点	計劃節點	MS	节点→節點(node = 節點)
plan tree	计划树	計劃樹	字符	
Planner	规划器	規劃器	字符	
Pluggable Storage Engines	可插拔存储引擎	可插拔儲存引擎	MS	存储→儲存(storage = 儲存)
Point-In-Time Recovery	时间点恢复	時間點復原	MS	时间点恢复→時間點復原(PITR)
postgres server process	postgres 服务器进程	postgres 伺服器行程	官方	服务器进程→伺服器行程(server process → 伺服器行程)
PostgreSQL Server	PostgreSQL 服务器	PostgreSQL 伺服器	官方	
postings list	倒排列表	反向列表	MS	倒排列表→反向列表(postings list(inverted index 家族))
precedence graph	前驱图	前驅圖	字符	
predicate lock	谓词锁	述詞鎖定	MS	谓词锁→述詞鎖定(predicate lock)
preferred types	首选类型	偏好型別	MS	首选类型→偏好型別(preferred types)
prepared statements	预备语句	預備敘述	官方推定	语句→敘述(statement = 敘述)
prepared transactions	预备事务	預備交易	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
primary	主库	主伺服器	裁定	主库→主伺服器(與 待命伺服器 對稱;MS 為 主要)
primary server	主库	主伺服器	裁定	主库→主伺服器(與 待命伺服器 對稱;MS 為 主要)
primary servers	主库	主伺服器	裁定	主库→主伺服器(與 待命伺服器 對稱;MS 為 主要)
Prior Checkpoint Location	上次检查点位置	上次檢查點位置	官方推定	检查点→檢查點(pg_ctl: 日誌檢查點)
privilege system	权限系统	權限系統	官方推定	权限→權限(官方:權限;OpenCC 直轉會誤作 許可權)
probe	探测	探測	字符	
procedural languages	过程语言	程序語言	官方	过程语言→程序語言(psql: procedural language → 程序語言)
pruning	剪枝	修剪	MS	剪枝→修剪(pruning = 修剪)
publication	发布	發布	官方	发布→發布(psql: publication)
push-down	下推	下推	字符	
qualified name	限定名	限定名稱	MS	限定名→限定名稱(qualified name)
query tree	查询树	查詢樹	官方推定	
Quicksort	快速排序	快速排序	字符	
quorum	法定人数	法定人數	MS	法定人数→法定人數(quorum)
Range Summarization	范围摘要	範圍摘要	字符	
range type	范围类型	範圍型別	MS	
Read Committed	读已提交	讀取認可	MS	读已提交→讀取認可(READ COMMITTED)
read replicas	只读副本	唯讀複本	MS	副本→複本(read replica → 唯讀複本)
read skew	读偏差	讀取偏斜	MS	读偏差→讀取偏斜(skew = 偏斜)
read-after-write consistency	写后读一致性	寫後讀一致性	字符	
Read-Only Queries	只读查询	唯讀查詢	官方推定	
rebalancing	再平衡	重新平衡	MS	再平衡→重新平衡(rebalancing)
recency guarantee	时效性保证	時效性保證	字符	
records	记录	記錄	字符	
Recovery	恢复	復原	官方	恢复→復原(pg_ctl: recovery on restart → 復原;restore 另譯 還原)
recovery target	恢复目标	復原目標	MS	恢复目标→復原目標(recovery target)
recursive term	递归项	遞迴項	MS	
REDO log	重做日志	重做日誌	MS	重做日志→重做日誌(REDO log)
REDO Point	重做点	重做點	MS	重做点→重做點(REDO point)
refactoring	重构	重構	字符	
referential integrity	引用完整性	參照完整性	MS	引用完整性→參照完整性(referential integrity;MS 亦作 參考完整性)
Regular Index Scans	常规索引扫描	一般索引掃描	官方推定	常规→一般(regular = 一般)
regular set	正则集	正規集合	MS	正则集→正規集合(regular set)
relation	关系	關聯	官方	官方語料 1242 處用 關聯；2026-09-19 三方會審修正
Relation Extension Locks	关系扩展锁	關聯延伸鎖定	官方	2026-09-19 會審同步 relation=關聯
Relation-Level Locks	关系级锁	關聯層級鎖定	官方	2026-09-19 會審同步 relation=關聯
Relations	关系	關聯	官方	relation 複數；2026-09-19 會審同步
relfilenode	关系文件节点	關聯檔案節點	官方推定	2026-09-19 會審同步 relation=關聯
reliability	可靠性	可靠性	字符	
Repeatable Read	可重复读	可重複讀	MS	可重复读→可重複讀(REPEATABLE READ)
replay	重放	重放	字符	
replica	副本	複本	MS	副本→複本(read replica → 唯讀複本)
Replication	复制	複寫	MS	复制→複寫(replication = 複寫;copy(複製)另譯;官方亦見 複製)
Replication Associated Process	复制相关进程	複寫相關行程	官方推定	
replication slot	复制槽	複寫槽	MS	复制槽→複寫槽(replication slot)
rescan	重新扫描	重新掃描	字符	
resource manager	资源管理器	資源管理員	MS	管理器→管理員(manager = 管理員)
response time	响应时间	回應時間	MS	响应时间→回應時間(response = 回應)
RETURNING list	RETURNING 列表	RETURNING 清單	MS	列表→清單(list = 清單)
Rewriter	重写器	重寫器	字符	
ring buffer	环形缓冲区	環形緩衝區	MS	环形→環形(ring);缓冲区→緩衝區(buffer)
row constructor	行构造器	資料列建構器	MS	行构造器→資料列建構器(row constructor)
row security policies	行安全性策略	資料列安全性策略	MS	
Row-Level Locking Modes	行级锁模式	資料列層級鎖定模式	MS	行级锁→資料列層級鎖定(row-level locks)
Row-Level Locks	行级锁	資料列層級鎖定	MS	行级锁→資料列層級鎖定(row-level locks)
row-level security	行级安全	資料列層級安全	MS	行级→資料列層級(row-level security = 資料列層級安全性)
row-type	行类型	資料列型別	MS	行类型→資料列型別(row type)
rw-conflict	读-写冲突	讀-寫衝突	字符	
S2PL	严格两阶段锁协议	嚴格兩階段鎖定協定	MS	阶段→階段(stage);锁协议→鎖定協定(2PL/S2PL)
Sampling	采样	取樣	MS	采样→取樣(sampling)
savepoint	保存点	儲存點	MS	保存点→儲存點(savepoint = 儲存點;禁 s2t 偽影 保存點)
scalability	可伸缩性	延展性	MS	可伸缩性→延展性(scalability)
schema	模式	schema	官方	schema:官方 zh_TW 保留原文:List of schemas → Schema 清單;不譯作 模式/綱要
Schemas	模式	Schema	官方	Schemas:同上
search path	搜索路径	搜尋路徑	MS	搜索路径→搜尋路徑(search = 搜尋)
secondaries	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
secondary	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
secure schema usage pattern	模式的安全使用方式	模式的安全使用方式	字符	
select list	选择列表	選取清單	MS	选择列表→選取清單(select list)
SELECT output list	SELECT 输出列表	SELECT 輸出清單	MS	输出列表→輸出清單(output list)
Selectivity	选择率	選擇率	裁定	选择率→選擇率(selectivity;MS 作 選擇性,不取)
secondary server	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
secondary servers	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
self-referential	自引用	自參考	MS	自引用→自參考(self-referential)
Semi-joins	半连接	半聯結	MS	半连接→半聯結(semi-join)
sequence object	序列对象	序列物件	官方推定	对象→物件(psql: 擴充模組中的物件)
Sequential Scans	顺序扫描	循序掃描	MS	顺序扫描→循序掃描(sequential = 循序)
serializability	可串行性	可序列化性	MS	可串行性→可序列化性(serializability)
Serializable	可串行化	可序列化	MS	可串行化→可序列化(SERIALIZABLE)
Serializable Snapshot Isolation	可串行化快照隔离	可序列化快照隔離	MS	可串行化→可序列化(SERIALIZABLE);快照隔离→快照隔離(snapshot isolation)
serialization	序列化	序列化	官方推定	
serialization anomalies	串行化异常	序列化異常	MS	串行化异常→序列化異常(serialization anomaly)
serialization function	序列化函数	序列化函式	官方推定	
serialization graph	串行化图	序列化圖	MS	串行化图→序列化圖(serialization graph)
Server Programming Interface	服务器编程接口	伺服器程式設計介面	官方推定	编程→程式設計(programming);接口→介面(interface = 介面)
Service discovery	服务发现	服務探索	MS	服务发现→服務探索(service discovery)
service time	服务时间	服務時間	字符	
Sharding	分片	分片	MS	分片→分片(sharding;MS Azure 作 分區,不取)
Shared Modes	共享模式	共用模式	MS	共享→共用(shared = 共用)
shared-disk architecture	共享磁盘架构	共用磁碟架構	MS	共享→共用(shared = 共用);磁盘→磁碟(disk);架构→架構(architecture = 架構(schema 保留原文,不再衝突))
shared-memory architecture	共享内存架构	共用記憶體架構	官方推定	共享→共用(shared = 共用);内存→記憶體(libpq: 記憶體);架构→架構(architecture = 架構(schema 保留原文,不再衝突))
shell type	shell 类型	shell 型別	官方	类型→型別(官方 zh_TW: 型別)
SI	快照隔离	快照隔離	MS	快照隔离→快照隔離(snapshot isolation)
siblings	兄弟	兄弟	MS	兄弟→兄弟(siblings)
Simple Query Protocol	简单查询协议	簡單查詢協定	官方推定	协议→協定(protocol = 協定)
skew	倾斜	偏斜	MS	倾斜→偏斜(data skew)
SLA	服务级别协议	服務等級協定	MS	服务级别协议→服務等級協定(SLA)
slave	从库	從屬伺服器	裁定	从库→從屬伺服器(MS slave = 從屬)
slaves	从库	從屬伺服器	裁定	从库→從屬伺服器(MS slave = 從屬)
Smart Shutdown	智能关闭	智慧停止	官方推定	智能关闭→智慧停止(pg_ctl shutdown 家族:停止/關停,不作 關機)
snapshot isolation	快照隔离	快照隔離	MS	快照隔离→快照隔離(snapshot isolation)
Snapshot Structure	快照结构	快照結構	字符	
Snapshots	快照	快照	字符	
sort operator	排序操作符	排序運算子	MS	操作符→運算子(operator = 運算子)
sort path	排序路径	排序路徑	字符	
source of truth	权威数据源	權威資料源	官方推定	
Special Space	特殊空间	特殊空間	字符	
speculative insertion	推测插入	推測性插入	MS	推测插入→推測性插入(speculative insertion)
spin lock	自旋锁	自旋鎖	MS	自旋锁→自旋鎖(Linux zh_TW 慣用)
split brain	脑裂	腦裂	MS	脑裂→腦裂(split brain)
SQL/MED	SQL 外部数据管理	SQL 外部資料管理	官方推定	
SR	流复制	串流複寫	MS	流复制→串流複寫(streaming = 串流(官方:壓縮串流))
SSI	可串行化快照隔离	可序列化快照隔離	MS	可串行化→可序列化(SERIALIZABLE);快照隔离→快照隔離(snapshot isolation)
standby	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
standby mode	备库模式	待機模式	官方	备库模式→待機模式(pg_ctl: server is not in standby mode → 不在待機模式)
standby query consistency	备库查询一致性	待命查詢一致性	官方推定	
standby server	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
standby servers	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
standbys	备库	待命伺服器	官方	备库→待命伺服器(pg_dump: standby servers → 待命伺服器;簡稱 待命)
START TIME	开始时间	開始時間	字符	
START TIMELINE	开始时间线	開始時間軸	MS	时间线→時間軸(timeline;TimeLineID 原樣;社群 時間線 亦見)
START WAL LOCATION	WAL 起始位置	WAL 起始位置	字符	
start-up	启动	啟動	字符	
startup process	启动进程	啟動行程	官方	
state transition functions	状态转移函数	狀態轉換函式	官方推定	状态转移→狀態轉換(state transition)
state values	状态值	狀態值	官方推定	
Statistics	统计信息	統計資訊	MS	统计信息→統計資訊(statistics information = 統計資訊)
stop-the-world	全局暂停	全域停止	MS	全局暂停→全域停止(stop-the-world = 全域停止)
storage parameters	存储参数	儲存參數	官方推定	存储→儲存(storage = 儲存);参数→參數(parameter = 參數;OpenCC 直轉會誤作 引數)
streaming	流式传输	串流	MS	
Streaming Replication	流复制	串流複寫	MS	流复制→串流複寫(streaming = 串流(官方:壓縮串流))
Strict Two-Phase Locking	严格两阶段锁协议	嚴格兩階段鎖定協定	MS	阶段→階段(stage);锁协议→鎖定協定(2PL/S2PL)
strong consistency	强一致性	強一致性	字符	
struct	结构体	結構	MS	struct:C struct;zh_CN 結構體 為大陸慣用
sub-partitioning	子分区	子分割	裁定	子分区→子分割(sub-partitioning)
subscription	订阅	訂閱	官方	
Subtransactions	子事务	子交易	官方推定	
suffix truncation	后缀截断	字尾截斷	MS	后缀→字尾(suffix = 字尾;prefix = 字首);截断→截斷(truncation)
switch-over	计划内切换	計畫性切換	裁定	计划内切换→計畫性切換(switchover;與容錯移轉區分)
switchover	计划内切换	計畫性切換	裁定	计划内切换→計畫性切換(switchover;與容錯移轉區分)
sync_priority	同步优先级	同步優先順序	MS	优先级→優先順序(priority)
sync_state	同步状态	同步狀態	官方推定	
System Catalog	系统目录	系統目錄	官方	系统目录→系統目錄(catalog = 目錄)
Table Access Methods	表访问方法	表存取方法	MS	访问方法→存取方法(access method = 存取方法)
table alias	表别名	資料表別名	MS	表别名→資料表別名(table alias)
table expression	表表达式	資料表運算式	MS	表表达式→資料表運算式(table expression)
Tablespace	表空间	表空間	官方	表空间→表空間(psql: List of tablespaces → 表空間清單(固定詞,不隨 資料表))
target list	目标列表	目標清單	MS	目标列表→目標清單(target list)
temporary tuple storage	临时元组存储	暫存元組儲存	官方推定	临时→暫存(temporary = 暫存);元组→元組(官方 zh_TW 保留 元組(tuple));存储→儲存(storage = 儲存)
throughput	吞吐量	輸送量	MS	吞吐量→輸送量(throughput)
TID	元组标识符	元組識別字	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple));标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
Timeline History Files	时间线历史文件	時間軸歷史檔案	官方推定	时间线→時間軸(timeline;TimeLineID 原樣;社群 時間線 亦見);文件→檔案(官方 zh_TW: 檔案)
TimeLineID	时间线 ID	時間軸 ID	MS	时间线→時間軸(timeline;TimeLineID 原樣;社群 時間線 亦見)
Token	词元	符記(詞法)|權杖(OAuth)	裁定	Token:MS 語彙基元 不取
TOAST	超长属性存储技术（TOAST）	超長屬性儲存技術（TOAST）	MS	存储→儲存(storage = 儲存)
Top-N Heapsort	Top-N 堆排序	Top-N 堆積排序	MS	堆排序→堆積排序(heapsort)
total order	全序	全序	字符	
total order broadcast	全序广播	全序廣播	字符	
transaction	事务	交易	官方	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
Transaction Horizon	事务视界	交易視界	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易);视界→視界(horizon)
transaction id	事务 ID	交易 ID	官方	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
Transaction ID Wraparound	事务 ID 回卷	交易 ID 回繞	官方	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易);回卷→回繞(wraparound;亦作 環繞)
transaction isolation	事务隔离	交易隔離	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
transaction log	事务日志	交易日誌	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
transaction snapshot	事务快照	交易快照	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
Transformation	转换	轉換	字符	
transition relations	过渡关系	轉換關聯	官方	2026-09-19 會審同步 relation=關聯
transition tables	过渡表	轉換表	MS	过渡→轉換(transition tables/relations)
trusted	受信任的	受信任的	MS	受信任→受信任(trusted)
trigger	触发器	觸發器	官方	触发器→觸發器(psql: 觸發器)
Trigrams	三字符组	三元組	裁定	三字符组→三元組(trigram;PG pg_trgm)
tuple	元组	元組	官方	元组→元組(官方 zh_TW 保留 元組(tuple))
tuple identifier	元组标识符	元組識別字	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple));标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
Tuples	元组	元組	官方	元组→元組(官方 zh_TW 保留 元組(tuple))
two-phase commit	两阶段提交	兩階段提交	官方	两阶段提交→兩階段提交(官方 zh_TW: Two-phase commit → 兩階段提交(commit 不作 認可))
two-phase in-memory hash join	两阶段内存哈希连接	兩階段記憶體雜湊聯結	官方推定	阶段→階段(stage);内存→記憶體(libpq: 記憶體);哈希连接→雜湊聯結(hash join)
txid	事务 ID	交易 ID	官方	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
txid wraparound	事务 ID 回卷	交易 ID 回繞	官方	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易);回卷→回繞(wraparound;亦作 環繞)
type categories	类型分类	型別分類	官方推定	类型→型別(官方 zh_TW: 型別)
typed table	类型化表	型別化資料表	裁定	类型化表→型別化資料表(typed table)
unbundling	分拆	分拆	字符	
UNDO log	撤销日志	復原日誌	MS	撤销日志→復原日誌(UNDO log;TW undo = 復原(與 recovery 同詞,依語境))
unlogged	不记录 WAL	不記錄 WAL	字符	
unpinned	未钉住	未釘選	MS	
unqualified names	非限定名	非限定名稱	MS	
update rules	更新规则	更新規則	字符	
usage patterns	使用模式	使用模式	字符	
user mapping	用户映射	使用者映射	官方	用户映射→使用者映射(psql: List of user mappings → 使用者映射清單)
VACUUM	清理	清理	官方	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
vacuum processing	清理过程	清理過程	官方推定	vacuum processing:processing 指 全過程,非 程序(procedure)
valid bit	有效位	有效位元	MS	有效位→有效位元(valid bit)
Value Insertion	插入值	插入值	字符	
VALUES clause	VALUES 子句	VALUES 子句	字符	
Version vectors	版本向量	版本向量	字符	
victim page	牺牲页面	犧牲頁面	MS	牺牲→犧牲(victim page)
view	视图	檢視	官方	
Virtual Transactions	虚拟事务	虛擬交易	官方推定	
Visibility Check	可见性检查	可見性檢查	字符	
visibility check rules	可见性检查规则	可見性檢查規則	字符	
visibility map	可见性映射	可見性對應	MS	可见性映射→可見性對應(visibility map)
VM	可见性映射	可見性對應	MS	可见性映射→可見性對應(visibility map)
Wait Queue	等待队列	等待佇列	MS	队列→佇列(queue = 佇列)
WAL Buffer	WAL 缓冲区	WAL 緩衝區	MS	缓冲区→緩衝區(buffer)
wal data	WAL 数据	WAL 資料	官方	
WAL Levels	WAL 级别	WAL 層級	MS	级别→層級(level;isolation level 亦可 隔離等級)
WAL Modes	WAL 模式	WAL 模式	字符	
WAL Segment	WAL 段	WAL 片段	官方	官方 zh_TW 活躍條目實測:WAL 片段(postgres/pg_controldata/initdb/pg_basebackup/pg_resetwal);區段 保留給 relation segment/archive section/shared memory segment(官方語義分工,2026-09-18 修正)
WAL segment file	WAL 段文件	WAL 片段檔案	官方推定	WAL 段→WAL 片段(官方分工,2026-09-18 修正);文件→檔案(官方 zh_TW: 檔案)
WAL Setup	WAL 设置	WAL 設定	官方	设置→設定(set = 設定;config 名詞 = 組態)
WAL Structure	WAL 结构	WAL 結構	字符	
walreceiver	WAL 接收进程	WAL 接收行程	官方推定	接收进程→接收行程(walreceiver)
walsender	WAL 发送进程	WAL 發送行程	官方推定	发送进程→發送行程(walsender;官方用 發送)
warm standby	温备	溫備援	裁定	温备→溫備援(與 熱備援 同系列)
warm-standby	温备	溫備援	裁定	温备→溫備援(與 熱備援 同系列)
window frame	窗口帧	視窗幀	MS	
window function	窗口函数	視窗函式	官方推定	
working table	工作表	工作表	字符	
wr-conflicts	写-读冲突	寫-讀衝突	字符	
write amplification	写入放大	寫入放大	字符	
write skew	写偏差	寫入偏斜	MS	
write-ahead log	预写式日志	預寫式日誌	裁定	预写式日志→預寫式日誌(WAL 縮寫保留)
ww-conflict	写-写冲突	寫-寫衝突	字符	
xlog record	XLOG 记录	XLOG 記錄	字符	
table	表	資料表	官方	table:psql 高頻;本行是 table 義詞條,不是字符串替換規則(表示/表明/圖表 等複合詞不得套用)
row	行	資料列	官方	row:row = 資料列;計數 筆:(1 row) → (1 筆資料);line(行號)仍作 行
column	列	欄位|欄	官方	column:psql: 欄/欄位;禁 MS 式 資料行
attribute	属性	屬性	字符	
subscript	下标	下標	字符	
lock	锁	鎖定	官方	lock:lock 名詞/動詞 = 鎖定;自旋鎖(spin lock)例外
signal	信号	訊號	裁定	POSIX signal；2026-09-19 會審（MS zh-TW 先例；舊語料 信號 為轉換殘留）
semaphore	信号量	號誌	裁定	延續既有裁定；2026-09-19 會審入庫
rollback	回滚	回復	裁定	2026-09-19 會審；與 recover=復原 區分
return	返回	傳回	MS	2026-09-19 會審；函數結果語境
newline	换行符	換行字元	MS	2026-09-19 會審
