术语ID	英文	原中文	调整后中文	操作类型	适用组件或语境	既有译法及来源	调整原因	影响消息或簇ID	决策状态	处理轮次	版本	证据索引	有效去重译文对数	来源重复口径
T0180	first-updater-win	以先更新者为准	以先更新者为准	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0180; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0180	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0181	flow control	流量控制	流量控制	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0181; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0181	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0182	flush	刷盘	刷盘	保留并限定语境	具体对象决定刷出、刷新或刷盘；stdio 缓冲输出不一定是持久化到磁盘，不能把所有 flush 都声称已落盘。	could not flush dirty data: %m → 无法刷出脏数据：%m [TE-e22627067ac687a904d0] | confirming write up to %X/%X, flush to %X/%X (slot %s) → 确认上写至%X/%X, 并刷写回至 %X/%X (槽 %s) [TE-4b42d005d62ad1b5e776] | Amount of WAL written out by WAL writer that triggers a flush. → 触发一次刷写的 WAL 写入器写出的 WAL 数量。 [TE-d49fdc2b202fb7c300ef]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0182; 11 messages / 7 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0182	6	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0183	followers	追随者	追随者	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0183; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0183	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0184	foreign data	外部数据	外部数据	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0184; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0184	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0185	Foreign Data Wrapper	外部数据包装器	外部数据包装器	保留并限定语境	外部数据包装器/封装器按同一组件准确既有说法；标识符 FOREIGN DATA WRAPPER 及 FDW 保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0185; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0185	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0186	foreign key	外键	外键	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"validating foreign key constraint ""%s"" → 正验证外键约束 ""%s"" [TE-a01e4c5f7dc1f4510eaa] | cannot have more than %d keys in a foreign key → 在一个外键中不能超过 %d 个键 [TE-d5693a26e30d14a045ee] | foreign key constraints not possible for domains → 外键约束对于域不可用 [TE-21e657e29e9fafc5c0cf]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0186; 33 messages / 6 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0186	21	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0187	foreign server	外部服务器	外部服务器	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	List of foreign servers → 外部服务器列表 [TE-198ffa4084f66573b591] | define a new foreign server → 建立新的触发器 [TE-f01cf7e79442255a7bb9] | must be owner of foreign server %s → 必须是外部服务器 %s 的属主 [TE-323cef1fdd9fda442109]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0187; 18 messages / 7 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0187	16	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0188	Foreign Table	外部表	外部表	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"foreign table → 所引用的外表 [TE-819dd7f9064b4b73eb31] | foreign table %s → 外部表 %s [TE-f9c678e2a6f3494c4505] | Foreign table ""%s.%s"" → 引用的外部表 ""%s.%s"" [TE-9857ea4fde33b1c6f25f]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0188; 51 messages / 10 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0188	55	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0189	fork	分支	分支	保留并限定语境	关系文件分支为分支；创建子进程的动词为派生/fork；fork() 标识符保留。	invalid fork name → 无效分支名称 [TE-a8dc34a32c9bfb1ab472] | could not fork process: %m → 无法派生进程: %m [TE-0fb640fc9c8e450ff77a] | could not fork archiver: %m → 无法 fork archiver: %m [TE-076c1edc4ab507236201]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0189; 11 messages / 4 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0189	16	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0190	fork number	关系分支编号	关系分支编号	保留并限定语境	关系文件分支编号；不是派生进程次数或进程编号。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；仅有 fuzzy/废弃线索，不能据此定为稳定译法。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0190; 1 messages / 1 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0190	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0191	format code	格式代码	格式代码	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	unsupported format code: %d → 不支持的格式代码: %d [TE-16717327798ac91abb3e]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0191; 1 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0191	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0192	format specifiers	格式说明符	格式说明符	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0192; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0192	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0193	free space	空闲空间	空闲空间	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0193; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0193	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0194	free space map	空闲空间映射	空闲空间映射	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0194; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0194	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0195	Frozen txid	冻结事务 ID	冻结事务 ID	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0195; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0195	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0196	FSM	空闲空间映射	空闲空间映射	保留并限定语境	缩写/关系文件分支名称 fsm 保留；解释才用空闲空间映射。当前 Valid fork names 命中是标识符证据。	"Valid fork names are ""main"", ""fsm"", ""vm"", and ""init"". → 有效的分支名称是 ""main"", ""fsm"", ""vm""和""init"". [TE-3fb5661aa34f9a1afe80]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0196; 2 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0196	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0197	FULL VACUUM	完全清理	完全清理	保留并限定语境	命令必须写 VACUUM FULL，不能把源码/帮助命令改为中文；普通说明可用完全清理，原译完全真空不可作直接复用模板。	"cannot use the ""%s"" option when performing full vacuum → 执行完全真空时，无法使用""%s""选项 [TE-74227843db3844e4ea3f]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0197; 1 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0197	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0198	Full Vacuuming	完全清理	完全清理	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	  -f, --full                      do full vacuuming\n →   -f, --full                      完全清理\n [TE-804af00aa5f3f53af4bb]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0198; 1 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0198	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0199	full-page image	整页镜像	整页镜像	保留并限定语境	整页镜像；已有完整页图像等准确说法按同簇保留；区别于实际整页写入动作。	Full-page images will be logged for all data blocks and cross-checked against the results of WAL replay. → 将记录所有数据块的整页图像，并对照WAL重放结果进行交叉检查. [TE-af43ff201dba87df2666]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0199; 3 messages / 3 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0199	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0200	full-page write	整页写入	整页写入	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	Compresses full-page writes written in WAL file. → 压缩写入WAL文件的整页写。 [TE-fb5062f6a3d5fa749f7e]	有英文检索命中，但中文采用语境化句法/其他表达或保留标识；未获得充分依据替换源术语，保守保留并供具体消息复核。	target-links.jsonl#T0200; 2 messages / 2 clusters	保留；译法需按消息判断	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0200	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0201	Full-Text Search	全文检索	全文检索	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	The server (version %s) does not support full text search. → 服务器(版本%s)不支持使用全文搜索. [TE-bdaaf129685bb7ab244c]	有英文检索命中，但中文采用语境化句法/其他表达或保留标识；未获得充分依据替换源术语，保守保留并供具体消息复核。	target-links.jsonl#T0201; 0 messages / 0 clusters	保留；译法需按消息判断	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0201	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0202	function calls	函数调用	函数调用	保留并限定语境	函数调用；语法中 nested window/aggregate calls 的限定对象必须保留。	"fastpath function call: ""%s"" (OID %u) → 快捷路径函数调用: ""%s"" (OID %u) [TE-313db6694057ee10e1ce] | window function calls cannot be nested → 不允许嵌套调用窗口函数 [TE-8588188cb27b8e9a6f38] | aggregate function calls cannot be nested → 不允许嵌套调用聚合函数 [TE-0658a4448fc3b585adfe]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0202; 15 messages / 7 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0202	13	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0203	functional notation	函数记法	函数记法	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0203; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0203	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0204	functionally dependent	函数依赖	函数依赖	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0204; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0204	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0205	generated column	生成列	生成列	保留并限定语境	生成列；列值生成机制与 identity column 标识列是不同概念。	"cannot set generated column ""%s"" → 无法设置生成的列 ""%s"" [TE-5e8808e7e1c7c169edbe] | column ""%s"" is a generated column → 列""%s""是生成的列 [TE-f5f3c5671b89ae47a602] | Column ""%s"" is a generated column. → 列""%s""是生成的列. [TE-d879aac1cd0c42aa3e65]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0205; 45 messages / 11 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0205	16	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0206	gossip protocol	流言协议	流言协议	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0206; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0206	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0207	grouping sets	分组集	分组集	保留并限定语境	分组集；SQL GROUPING SETS 保留，已有分组集合为可接受显示变体。	too many grouping sets present (maximum 4096) → 出现过多分组集合（最大4096个） [TE-e5079b416ab36a509b4f]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0207; 1 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0207	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0208	handshaking	握手	握手	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0208; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0208	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0209	hardware faults	硬件故障	硬件故障	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0209; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0209	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0210	Hash Join	哈希连接	哈希连接	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	Enables the planner's use of hash join plans. → 启用查询计划器的哈希连接计划. [TE-530d1a55cfff16cb3f5a]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0210; 1 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0210	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0211	hash slots	哈希槽	哈希槽	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0211; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0211	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0212	head-of-line blocking	队头阻塞	队头阻塞	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0212; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0212	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0213	header data	首部数据	首部数据	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0213; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0213	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0214	heap	堆	堆	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"heap table ""%s.%s.%s"":\n → 堆表""%s.%s.%s"":\n [TE-a898c5db12a0aa04b3c3] | only heap AM is supported → 仅支持堆AM [TE-1058336a6206ad206efa] | checking heap table ""%s.%s.%s"" → 正在检查堆表""%s.%s.%s"" [TE-04e3bdfe4c9921fe7109]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0214; 12 messages / 6 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0214	10	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0215	heap-only tuple	堆内元组	堆内元组	保留并限定语境	HOT 机制中的堆内元组，不能把整个机制误成仅包含堆的关系。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0215; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0215	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0216	Heap Scan	堆扫描	堆扫描	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0216; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0216	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0217	heap table	堆表	堆表	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"heap table ""%s.%s.%s"":\n → 堆表""%s.%s.%s"":\n [TE-a898c5db12a0aa04b3c3] | checking heap table ""%s.%s.%s"" → 正在检查堆表""%s.%s.%s"" [TE-04e3bdfe4c9921fe7109] | heap table ""%s.%s.%s"", block %s:\n → 堆表""%s.%s.%s"",块%s:\n [TE-ba5d99252654214b5578]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0217; 6 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0217	6	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0218	Heap Truncation	堆截断	堆截断	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0218; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0218	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0219	heap tuples	堆元组	堆元组	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	      --heapallindexed            check that all heap tuples are found within indexes\n →       --heapallindexed            检查是否在索引中找到所有堆元组\n [TE-925f35c70ae8138ccb5d]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0219; 1 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0219	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0220	Heap Vacuuming	堆清理	堆清理	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0220; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0220	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0221	heap-only tuple updates	堆内元组更新	堆内元组更新	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0221; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0221	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0222	Heavyweight Locks	重量级锁	重量级锁	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0222; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0222	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0223	heuristic decisions	启发式决策	启发式决策	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0223; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0223	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0224	hierarchical model	层次模型	层次模型	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0224; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0224	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
